horizon_hours,transformer_mae_degC,lstm_mae_degC,seasonal_naive_mae_degC
1,0.66766,0.65490,2.47630
2,0.91032,0.89900,2.47340
3,1.10916,1.09271,2.46953
4,1.29795,1.26998,2.47655
5,1.45661,1.42736,2.47315
6,1.57218,1.53127,2.46924
7,1.67909,1.62934,2.47620
8,1.78499,1.71415,2.47287
9,1.86373,1.78272,2.46910
10,1.93278,1.85741,2.47620
11,2.00581,1.91150,2.47261
12,2.03718,1.94576,2.46842
13,2.09433,1.99129,2.47505
14,2.11129,2.02730,2.47133
15,2.14432,2.05268,2.46722
16,2.16764,2.08575,2.47459
17,2.19627,2.12862,2.47046
18,2.20079,2.14143,2.46606
19,2.23530,2.16976,2.47335
20,2.26672,2.20014,2.46927
21,2.28059,2.20735,2.46477
22,2.29853,2.21727,2.47206
23,2.34248,2.23939,2.46787
24,2.36076,2.25154,2.46350
